Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,6696.20
Unsynchronized,2,1000,500,5943.65
Unsynchronized,2,1000,500,5321.18
Unsynchronized,2,1000,500,7331.73
Unsynchronized,2,1000,500,5599.01
Unsynchronized,2,1000,500,5036.73
Unsynchronized,12,10000000,500,844.039,mismatch
Unsynchronized,12,10000000,500,937.140,mismatch
Unsynchronized,12,10000000,500,875.348,mismatch
Unsynchronized,12,10000000,500,807.012,mismatch
Unsynchronized,12,10000000,500,778.325,mismatch
Unsynchronized,12,10000000,500,933.867,mismatch
Unsynchronized,12,10000000,500,944.609,mismatch
Unsynchronized,12,10000000,500,940.166,mismatch
Unsynchronized,12,10000000,500,894.679,mismatch
Unsynchronized,12,10000000,500,821.021,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,66313.7,mismatch
Unsynchronized,16,1000,500,52975.2,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,55377.6
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
